jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|tmParams|activationThreshold,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|sine:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=sine,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=sine, 
1001,  1046,  completed,  eof,  2018-02-11 20:31:57,  2018-02-11 20:32:06,  9,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|sine:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  1000,  11,  14,  3,  0.05005,  272,  0.05015,  0.0601539780978,  9.44262252174, 
1001,  1057,  completed,  eof,  2018-02-11 20:31:57,  2018-02-11 20:32:02,  5,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|sine:n_22.modelParams|spParams|synPermInactiveDec_0.1,  1000,  9,  12,  1,  0.0001,  22,  0.1,  0.470632514388,  73.8771619161, 
1001,  1058,  completed,  eof,  2018-02-11 20:32:02,  2018-02-11 20:32:13,  11,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|sine:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1000,  12,  16,  5,  0.1,  521,  0.0003,  0.0707810256633,  11.1107947999, 
1001,  1059,  completed,  eof,  2018-02-11 20:32:06,  2018-02-11 20:32:14,  8,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|sine:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  1000,  10,  13,  2,  0.025075,  147,  0.075075,  0.0581834953985,  9.1333075786, 
1001,  1060,  completed,  eof,  2018-02-11 20:32:13,  2018-02-11 20:32:23,  10,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|sine:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  1000,  11,  15,  4,  0.075025,  396,  0.025225,  0.0552112717239,  8.66674514837, 
1001,  1061,  completed,  eof,  2018-02-11 20:32:14,  2018-02-11 20:32:22,  8,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.034196481062.modelParams|sensorParams|encoders|sine:n_195.modelParams|spParams|synPermInactiveDec_0.0801133922224,  1000,  10,  13,  2,  0.034196481062,  195,  0.0801133922224,  0.0557403493882,  8.74979669087, 
1001,  1062,  completed,  eof,  2018-02-11 20:32:22,  2018-02-11 20:32:30,  8,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0235679081537.modelParams|sensorParams|encoders|sine:n_187.modelParams|spParams|synPermInactiveDec_0.0850557928168,  1000,  10,  13,  2,  0.0235679081537,  187,  0.0850557928168,  0.0560643797125,  8.80066109145, 
1001,  1063,  completed,  eof,  2018-02-11 20:32:23,  2018-02-11 20:32:33,  10,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.084146481062.modelParams|sensorParams|encoders|sine:n_444.modelParams|spParams|synPermInactiveDec_0.0302633922224,  1000,  11,  15,  4,  0.084146481062,  444,  0.0302633922224,  0.0564604557124,  8.86283480422, 
1001,  1064,  completed,  eof,  2018-02-11 20:32:30,  2018-02-11 20:32:39,  9,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.0617770378759.modelParams|sensorParams|encoders|sine:n_324.modelParams|spParams|synPermInactiveDec_0.0201332155552,  1000,  11,  15,  4,  0.0617770378759,  324,  0.0201332155552,  0.0559090039524,  8.77627110598, 
1001,  1065,  completed,  eof,  2018-02-11 20:32:33,  2018-02-11 20:32:43,  10,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.08002.modelParams|sensorParams|encoders|sine:n_371.modelParams|spParams|synPermInactiveDec_0.03021,  1000,  10,  15,  4,  0.08002,  371,  0.03021,  0.0620079551337,  9.7336490817, 
1001,  1066,  completed,  killed,  2018-02-11 20:32:39,  2018-02-11 20:32:43,  4,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.0643157499877.modelParams|sensorParams|encoders|sine:n_339.modelParams|spParams|synPermInactiveDec_0.032598270794,  250,  10,  15,  4,  0.0643157499877,  339,  0.032598270794,  0.0777587711532,  12.1694657907, 
